(-0.3889977524815364, -0.24408326416935897)
(-0.38883959211687447, -0.24388248530025483)
(-0.3886462831149765, -0.24363968765668276)
(-0.38839685018804165, -0.2433298981623311)
(-0.3880441735110104, -0.24289743712436368)
(-0.3877332144679989, -0.24251999479505407)
(-0.38739651694301874, -0.2421151473505241)
(-0.3870296411958311, -0.2416780640527882)
(-0.3866409149398185, -0.24121914311397788)
(-0.38622802396288985, -0.2407360335736031)
(-0.3858068588171283, -0.2402477369901304)
(-0.38538981706502057, -0.23976871292767288)
(-0.3849896214518539, -0.23931332702138872)
(-0.3846075083028241, -0.23888274152355116)
(-0.3842567879731549, -0.23849157762729928)
(-0.383951998481021, -0.23815509774787327)
(-0.3836977434695393, -0.237877501780784)
(-0.38348586156856734, -0.23764886638384206)
(-0.38329898230218107, -0.23744957680456297)
(-0.38310126824299656, -0.2372412021371397)
(-0.3828519522171568, -0.23698192116918443)
(-0.38251776132211457, -0.23663933525931788)
(-0.38205826461207404, -0.236175538189633)
(-0.38145609775476474, -0.2355776001484197)
(-0.3807045824479868, -0.23484376680813013)
(-0.379813341576545, -0.23398821474598763)
(-0.37879418792635566, -0.23302639295787406)
(-0.3776517827610406, -0.23196644075326833)
(-0.37639407562507615, -0.23081890141642308)
(-0.3750182730927201, -0.22958437323865222)
